ST	dinB	icdA	pabB	polB	putP	trpA	trpB	uidA
2256	10	148	7	17	7	1	4	2
2257	8	2	7	3	7	1	4	396
2258	87	442	320	10	78	29	2	5
2259	18	8	90	11	8	12	13	108
2260	11	2	7	3	7	252	4	2
2261	20	42	21	22	7	27	19	17
2262	8	47	4	10	16	7	4	5
2263	5	122	321	68	5	29	109	2
2264	328	104	7	3	7	1	4	2
2265	264	104	7	3	7	1	354	2
2266	8	104	7	3	365	1	4	2
2267	264	104	7	357	7	1	4	2
2268	329	104	7	3	7	1	4	2
2269	5	47	322	68	5	29	109	2
2270	8	104	7	3	7	1	355	2
2271	330	104	7	3	7	1	4	2
